HUL_DRS_DESCRIPTOR_ORACLE,uri_type_IDS,HUL_DRS_FILE_ORACLE
433083093,urn-3:FHCL:4879989,24374663
433083095,urn-3:FHCL:4879990,24374664
433084011,urn-3:FHCL:30013601,54438898
433084025,urn-3:FHCL:30013603,54438900
433084029,urn-3:FHCL:30013602,54438899
433084075,urn-3:FHCL:1202602,7877999;7878014
433084137,urn-3:FHCL:1204858,7931988;7932000
433084185,urn-3:FHCL:4889567,24727377
433084187,urn-3:FHCL:4889566,24727376
433084453,urn-3:FHCL:21366607,51794007
433084645,urn-3:FHCL:20085291,51759223
433084647,urn-3:FHCL:20085296,51759226
433084649,urn-3:FHCL:20085293,51759225
433084651,urn-3:FHCL:20085292,51759224
433084653,urn-3:FHCL:20085297,51759227
433084655,urn-3:FHCL:20085304,51759231
433084659,urn-3:FHCL:20085299,51759228
433084663,urn-3:FHCL:20085301,51759229
433084667,urn-3:FHCL:20085302,51759230
433085289,urn-3:FHCL:4178091,16870413
433086588,urn-3:FHCL:1473919,8982479;8982493
433086591,urn-3:FHCL:1473920,8982480;8982494
433086592,urn-3:FHCL:1473922,8982482;8982496
433086594,urn-3:FHCL:1473921,8982481;8982495
433086822,urn-3:FHCL:4925504,26003954
433090467,urn-3:FHCL:4925503,26003953
433090487,urn-3:FHCL:4925538,26004015
433090898,urn-3:FHCL:479514,2225737;3868337;2225736
433090899,urn-3:FHCL:479513,2225735;3867914;2225734
433090901,urn-3:FHCL:479515,2225739;3868339;2225738
433090903,urn-3:FHCL:479516,2225741;3868341;2225740
433090905,urn-3:FHCL:479517,2225743;2814039;2225742
433090907,urn-3:FHCL:479520,2225749;2225748
433090909,urn-3:FHCL:479521,2225751;2225750
433090911,urn-3:FHCL:479519,2225747;2814045;2225746
433090913,urn-3:FHCL:479518,2225745;2814042;2225744
433091037,urn-3:FHCL:514085,2419061;2419060
433091041,urn-3:FHCL:514086,2419063;2419062
433091043,urn-3:FHCL:514087,2419065;2419064
433091045,urn-3:FHCL:514088,2419067;2419066
433091048,urn-3:FHCL:514089,2419069;2419068
433091050,urn-3:FHCL:514090,2419071;2419070
433091052,urn-3:FHCL:514091,2419073;2419072
433091054,urn-3:FHCL:514092,2419075;2419074
433091056,urn-3:FHCL:514093,2419077;3868374;2419076
433091059,urn-3:FHCL:514094,2419079;3868378;2419078
433091061,urn-3:FHCL:514095,2419081;3868382;2419080
433091063,urn-3:FHCL:514096,2419083;3868385;2419082
433091065,urn-3:FHCL:514097,2419085;3868387;2419084
433091067,urn-3:FHCL:507555,2401163;2401149
433091070,urn-3:FHCL:507556,2401164;3868344;2401150
433091072,urn-3:FHCL:507557,2401165;3868346;2401151
433091074,urn-3:FHCL:507558,2401166;3868348;2401152
433091076,urn-3:FHCL:507559,2401167;2401153
433091078,urn-3:FHCL:507560,2401168;3868350;2401154
433091080,urn-3:FHCL:507561,2401169;3868360;2401155
